element_key,input_text,target_text_xpath,target_text_css,class
cls_div_theme,"<div class=""theme""><div id=""theme-app"" class=""theme__app""><button class=""accessibility-widget-button"" id=""INDmenu-btn"" aria-label=""Accessibility"" data-qa-action=""accessibility-widget-button-click""><div class=""accessibility-widget-button__background""></div><svg class=""accessibility-widget-button__icon"" width=""24"" height=""24"" viewBox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M12 24c6.627 0 12-5.373 12-12S18.627 0 12 0 0 5.37","//div[contains(@class, 'theme')]",div.theme,theme
id_div_theme-app,"<div id=""theme-app"" class=""theme__app""><button class=""accessibility-widget-button"" id=""INDmenu-btn"" aria-label=""Accessibility"" data-qa-action=""accessibility-widget-button-click""><div class=""accessibility-widget-button__background""></div><svg class=""accessibility-widget-button__icon"" width=""24"" height=""24"" viewBox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M12 24c6.627 0 12-5.373 12-12S18.627 0 12 0 0 5.373 0 12s5.373 12 12 ",//div[@id='theme-app'],div#theme-app,theme__app
id_button_INDmenu-btn,"<button class=""accessibility-widget-button"" id=""INDmenu-btn"" aria-label=""Accessibility"" data-qa-action=""accessibility-widget-button-click""><div class=""accessibility-widget-button__background""></div><svg class=""accessibility-widget-button__icon"" width=""24"" height=""24"" viewBox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M12 24c6.627 0 12-5.373 12-12S18.627 0 12 0 0 5.373 0 12s5.373 12 12 12zm-.002-16.839c.74 0 1.339-.595 1.339",//button[@id='INDmenu-btn'],button#INDmenu-btn,accessibility-widget-button
cls_div_accessibility-widget-button__background,"<div class=""accessibility-widget-button__background""></div>","//div[contains(@class, 'accessibility-widget-button__background')]",div.accessibility-widget-button__background,accessibility-widget-button__background
cls_div_layout,"<div class=""layout layout--grid-type-standard layout-catalog"" style=""color: rgb(0, 0, 0); fill: rgb(0, 0, 0);""><a class=""zds-button skip-to-content zds-bicolor-outline zds-button--secondary zds-button--small zds-button--flex"" role=""link"" href=""#main""><span class=""zds-button__first-line"">Skip to main content</span></a><header class=""layout-header-std layout-header-std--background-transparent layout-header-std--fixed layout-catalog__header""><button aria-label=""Open menu"" class=""layout-header-icon layout-heade","//div[contains(@class, 'layout')]",div.layout,layout layout--grid-type-standard layout-catalog
cls_a_zds-button,"<a class=""zds-button skip-to-content zds-bicolor-outline zds-button--secondary zds-button--small zds-button--flex"" href=""#main"" role=""link""><span class=""zds-button__first-line"">Skip to main content</span></a>","//a[contains(@class, 'zds-button')]",a.zds-button,zds-button skip-to-content zds-bicolor-outline zds-button--secondary zds-button--small zds-button--flex
cls_span_zds-button__first-line,"<span class=""zds-button__first-line"">Skip to main content</span>","//span[contains(@class, 'zds-button__first-line')]",span.zds-button__first-line,zds-button__first-line
qaid_button_layout-header-toggle-menu,"<button aria-label=""Open menu"" class=""layout-header-icon layout-header-std__icon"" data-qa-id=""layout-header-toggle-menu""><svg width=""64"" height=""64"" viewBox=""0 0 64 64"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"" class=""layout-header-icon__icon""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M64 32.97H0V32h64v.97zm0 15.515H0v-.97h64v.97zM0 64h64v-.97H0V64z"" fill=""currentColor""></path></svg></button>",//button[@data-qa-id='layout-header-toggle-menu'],button[data-qa-id='layout-header-toggle-menu'],layout-header-icon layout-header-std__icon
cls_div_layout-header-logo,"<div class=""layout-header-logo layout-header-std__logo layout-catalog__logo""><div class=""layout-catalog-logo""><a class=""layout-catalog-logo__link link"" href=""https://www.zara.com/ie/"" title=""ZARA Ireland, Go to the Zara homepage"" itemprop=""url"" data-qa-action=""logo-click"" aria-label=""Go to home page"" tabindex=""0""><svg class=""layout-catalog-logo-icon layout-catalog-logo-icon--fade-enter-done"" aria-hidden=""true"" width=""274"" viewBox=""0 0 132 55"" xmlns=""http://www.w3.org/2000/svg""><path fill-rule=""evenodd"" clip","//div[contains(@class, 'layout-header-logo')]",div.layout-header-logo,layout-header-logo layout-header-std__logo layout-catalog__logo
cls_div_layout-catalog-logo,"<div class=""layout-catalog-logo""><a class=""layout-catalog-logo__link link"" href=""https://www.zara.com/ie/"" title=""ZARA Ireland, Go to the Zara homepage"" itemprop=""url"" data-qa-action=""logo-click"" aria-label=""Go to home page"" tabindex=""0""><svg class=""layout-catalog-logo-icon layout-catalog-logo-icon--fade-enter-done"" aria-hidden=""true"" width=""274"" viewBox=""0 0 132 55"" xmlns=""http://www.w3.org/2000/svg""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M105.673.035l19.557 53.338 6.77.002v.383h-21.548v-.383h6.3","//div[contains(@class, 'layout-catalog-logo')]",div.layout-catalog-logo,layout-catalog-logo
